send_date,메시지 수신자 수,라이브커머스 수신 유저의 평균 앱푸시 수신 수,라이브커머스 수신 유저의 평균 라이브커머스 수신 순서,라이브커머스 앱 푸시가 6번째 이후 메시지인 유저 수
2026-01-05,450210,4,3.6,55061
2026-01-06,449827,3.2,2.7,32733
2026-01-07,405977,3.6,3.2,36549
2026-01-08,845160,3,2.6,52552
2026-01-12,842769,4.1,3.6,101852
2026-01-13,423571,5.3,4.9,94461
2026-01-14,532179,5.3,4.9,125929
2026-01-19,931963,4.5,4.1,157865
2026-01-20,915342,4.4,4,141840
2026-01-21,434030,4.4,3.9,60613
2026-01-22,436042,4.7,4.2,75004
2026-01-26,847798,4.5,4,131348
2026-01-27,822160,5.2,4.7,168520
2026-01-28,430106,5.5,5,103516
2026-02-02,836644,6.1,5.7,245814
2026-02-03,821429,5.4,5,195287
2026-02-04,520026,5.1,4.7,104077
2026-02-05,423517,5.8,5.3,115932
2026-02-09,890188,6.3,5.8,267786
2026-02-10,901900,5,4.6,185822
2026-02-11,4012400,4,3.7,547149
2026-02-12,4059327,3.8,3.5,566721
2026-02-19,1035658,4.6,4.1,161474
2026-02-20,1048249,4.8,4.3,194523
2026-02-23,4087220,4.2,3.8,599038
2026-02-24,4040414,4,3.7,592503
2026-02-25,4054629,4.3,4,675625
2026-02-26,478674,5.2,4.7,104122
2026-03-03,1028298,6.8,6.2,370778
2026-03-04,353507,7.7,7.1,169502